GENUS_ID,GENUS,FAMILY_ID,CREATED_BY,DATE_CREATED,MODIFIED_BY,DATE_MODIFIED
1,Abditomys,358,,,,
2,Abeillia,29,,,,
4,Ablepharus,403,,,,
5,Abrawayaomys,358,,,,
6,Abrocoma,337,,,,
7,Abronia,373,,,,
8,Abroscopus,283,,,,
9,Aburria,161,,,,
10,Acalyptophis,393,,,,
11,Acanthagenys,248,,,,
12,Acanthidops,232,,,,
13,Acanthis,237,,,,
14,Acanthisitta,209,,,,
15,Acanthixalus,13,,,,
16,Acanthiza,262,,,,
17,Acanthocercus,371,,,,
18,Acanthodactylus,395,,,,
19,Acanthophis,387,,,,
20,Acanthorhynchus,248,,,,
21,Acanthornis,262,,,,
22,Acanthosaura,371,,,,
23,Accipiter,156,,,,
24,Acerodon,110,,,,
25,Aceros,127,,,,
26,Acestrura,29,,,,
27,Achaetops,283,,,,
28,Achalinus,382,,,,
29,Acinonyx,47,,,,
30,Acomys,358,,,,
31,Aconaemys,361,,,,
32,Acontias,403,,,,
33,Acontophiops,403,,,,
34,Acridotheres,282,,,,
35,Acris,12,,,,
36,Acrobates,146,,,,
37,Acrobatornis,238,,,,
38,Acrocephalus,283,,,,
39,Acrochordus,370,,,,
40,Acropternis,280,,,,
41,Acryllium,164,,,,
42,Actenoides,124,,,,
43,Actinodura,285,,,,
44,Actitis,95,,,,
45,Actitus,95,,,,
46,Actophilornis,86,,,,
47,Acutotyphlops,408,,,,
48,Addax,31,,,,
49,Adelastes,16,,,,
50,Adelomyia,29,,,,
51,Adelophis,382,,,,
52,Adelophryne,15,,,,
53,Adelotus,17,,,,
54,Adelphicos,382,,,,
55,Adenomera,15,,,,
56,Adenorhinos,411,,,,
57,Adolfus,395,,,,
58,Aechmophorus,312,,,,
59,Aegithalos,210,,,,
60,Aegithina,211,,,,
61,Aegolius,415,,,,
62,Aegotheles,40,,,,
63,Aegypius,156,,,,
64,Aeluroglena,382,,,,
65,Aeluroscalabotes,388,,,,
66,Aenigmatolimnas,175,,,,
67,Aepeomys,358,,,,
68,Aepyceros,31,,,,
69,Aepypodius,163,,,,
70,Aepyprymnus,152,,,,
71,Aeretes,364,,,,
72,Aerodramus,27,,,,
73,Aeromys,364,,,,
74,Aeronautes,27,,,,
75,Aethalops,110,,,,
76,Aethia,78,,,,
77,Aethomys,358,,,,
78,Aethopyga,254,,,,
79,Afrixalus,13,,,,
80,Afroblepharus,403,,,,
81,Afrocaecilia,178,,,,
82,Afroedura,388,,,,
83,Afrogecko,388,,,,
84,Afronatrix,382,,,,
85,Afropavo,165,,,,
86,Agalychnis,12,,,,
87,Agama,371,,,,
88,Agamia,115,,,,
89,Agamodon,405,,,,
90,Agamura,388,,,,
91,Agapornis,333,,,,
92,Agelaius,242,,,,
93,Agelastes,164,,,,
94,Agkistrodon,411,,,,
95,Aglaeactis,29,,,,
96,Aglaiocercus,29,,,,
97,Aglyptodactylus,23,,,,
98,Agouti,338,,,,
99,Agriornis,288,,,,
100,Ahaetulla,382,,,,
101,Ailuroedus,275,,,,
102,Ailuronyx,388,,,,
103,Ailuropoda,55,,,,
104,Ailurops,150,,,,
105,Ailurus,443,,,fsotelo,4/11/2005 11:23:43 AM
106,Aimophila,232,,,,
107,Aipysurus,393,,,,
108,Aix,1,,,,
109,Ajaia,120,,,,
110,Akodon,358,,,,
111,Alaemon,212,,,,
112,Alauda,212,,,,
113,Alca,78,,,,
114,Alcedo,124,,,,
115,Alcelaphus,31,,,,
116,Alces,33,,,,
117,Alcippe,285,,,,
118,Aleadryas,258,,,,
119,Alectoris,165,,,,
120,Alectroenas,122,,,,
121,Alectrurus,288,,,,
122,Alectura,163,,,,
123,Alethe,287,,,,
124,Alexteroon,13,,,,
125,Algyroides,395,,,,
126,Alionycteris,110,,,,
127,Alisterus,333,,,,
128,Allactaga,350,,,,
129,Allactodipus,350,,,,
130,Alle,78,,,,
131,Allenopithecus,315,,,,
132,Alligator,136,,,,
133,Allobates,8,,,,
134,Allocebus,316,,,,
135,Allocricetulus,358,,,,
136,Allophryne,3,,,,
137,Alluaudina,382,,,,
138,Alopex,46,,,,
139,Alophoixus,276,,,,
140,Alopochen,1,,,,
141,Alopoglossus,390,,,,
142,Alouatta,314,,,,
143,Alsodes,15,,,,
144,Alsophis,382,,,,
145,Alsophylax,388,,,,
146,Alticola,358,,,,
147,Altigius,16,,,,
148,Altiphrynoides,6,,,,
149,Alytes,9,,,,
150,Amadina,234,,,,
151,Amalocichla,233,,,,
152,Amandava,234,,,,
153,Amapasaurus,390,,,,
154,Amastridium,382,,,,
155,Amaurocichla,283,,,,
156,Amaurolimnas,175,,,,
157,Amaurornis,175,,,,
158,Amaurospiza,232,,,,
159,Amazilia,29,,,,
160,Amazona,333,,,,
161,Amazonetta,1,,,,
162,Amblonyx,50,,,,
163,Amblycercus,242,,,,
164,Amblyodipsas,377,,,,
165,Amblyornis,275,,,,
166,Amblyospiza,270,,,,
167,Amblyramphus,242,,,,
168,Amblyrhiza,354,,,,
169,Amblyrhynchus,394,,,,
170,Amblysomus,184,,,,
171,Ambystoma,59,,,,
172,Ameiva,404,,,,
173,Ametrida,109,,,,
174,Ammodillus,358,,,,
175,Ammodorcas,31,,,,
176,Ammodramus,232,,,,
177,Ammomanes,212,,,,
178,Ammoperdix,165,,,,
179,Ammospermophilus,364,,,,
180,Ammotragus,31,,,,
181,Amolops,22,,,,
182,Amorphochilus,100,,,,
183,Ampeliceps,282,,,,
184,Ampelioides,225,,,,
185,Ampelion,225,,,,
186,Amphibolurus,371,,,,
187,Amphiesma,382,,,,
188,Amphiesmoides,382,,,,
189,Amphiglossus,403,,,,
190,Amphisbaena,372,,,,
191,Amphispiza,232,,,,
192,Amphiuma,60,,,,
193,Amplorhinus,382,,,,
194,Amyda,428,,,,
195,Amytornis,246,,,,
196,Anabacerthia,238,,,,
197,Anabazenops,238,,,,
198,Anadia,390,,,,
199,Anairetes,288,,,,
200,Anaplectes,270,,,,
201,Anarhynchus,80,,,,
202,Anas,1,,,,
203,Anastomus,118,,,,
204,Anathana,366,,,,
205,Ancistrops,238,,,,
206,Ancylocranium,372,,,,
207,Andalgalomys,358,,,,
208,Andigena,311,,,,
209,Andinomys,358,,,,
210,Andinophryne,6,,,,
211,Andrias,61,,,,
212,Androdon,29,,,,
213,Androngo,403,,,,
214,Andropadus,276,,,,
215,Androphobus,220,,,,
216,Aneides,64,,,,
217,Anelytropsis,386,,,,
218,Angolosaurus,389,,,,
219,Anguis,373,,,,
220,Anhima,2,,,,
221,Anhinga,293,,,,
222,Anhydrophryne,22,,,,
223,Anilius,374,,,,
224,Anisognathus,232,,,,
225,Anisolepis,401,,,,
226,Anisomys,358,,,,
227,Annamemys,424,,,,
228,Anniella,375,,,,
229,Annorrhinus,127,,,,
230,Anodonthyla,16,,,,
231,Anodorhynchus,333,,,,
232,Anolis,401,,,,
233,Anomalepis,376,,,,
234,Anomalopus,403,,,,
235,Anomalospiza,270,,,,
236,Anomalurus,339,,,,
237,Anomochilus,441,,,,
238,Anonymomys,358,,,,
239,Anoplohydrus,382,,,,
240,Anops,372,,,,
241,Anorrhinus,127,,,,
242,Anotheca,12,,,,
243,Anotomys,358,,,,
244,Anotosaura,390,,,,
245,Anoura,109,,,,
246,Anourosorex,187,,,,
247,Anous,87,,,,
248,Anser,1,,,,
249,Anseranas,1,,,,
250,Ansonia,6,,,,
251,Antaresia,379,,,,
252,Antechinus,193,,,,
253,Anthocephala,29,,,,
