GLOBAL200_NUM,GLOBAL200_NAME,CREATED_BY,DATE_CREATED,MODIFIED_BY,DATE_MODIFIED
1,Guinean Moist Forests,,,,
2,Congolian Coastal Forests,,,,
3,Cameroon Highlands Forests,,,,
4,Northeastern Congo Basin Moist Forests,,,,
5,Central Congo Basin Moist Forests,,,,
6,Western Congo Basin Moist Forests,,,,
7,Albertine Rift Montane Forests,,,,
8,East African Coastal Forests,,,,
9,Eastern Arc Montane Forests,,,,
10,Madagascar Forests and Shrublands,,,,
11,Seychelles and Mascarenes Moist Forests,,,,
12,Sulawesi Moist Forests,,,,
13,Moluccas Moist Forests,,,,
14,Southern New Guinea Lowland Forests,,,,
15,New Guinea Montane Forests,,,,
16,Solomons-Vanuatu-Bismarck Moist Forests,,,,
17,Queensland Tropical Forests,,,,
18,New Caledonia Moist Forests,,,,
19,Lord Howe-Norfolk Islands Forests,,,,
20,Southwestern Ghats Moist Forests,,,,
21,Sri Lankan Moist Forests,,,,
22,Northern Indochina Subtropical Moist Forests,,,,
23,Southeast China-Hainan Moist Forests,,,,
24,Taiwan Montane Forests,,,,
25,Annamite Range Moist Forests,,,,
26,Sumatran Islands Lowland and Montane Forests,,,,
27,Philippines Moist Forests,,,,
28,Palawan Moist Forests,,,,
29,Kayah-Karen/Tenasserim Moist Forests,,,,
30,Peninsular Malaysian Lowland and Montane Forests,,,,
31,Borneo Lowland and Montane Forests,,,,
32,Nansei Shoto Archipelago Forests,,,,
33,Eastern Deccan Plateau Moist Forests,,,,
34,Naga-Manupuri-Chin Hills Moist Forests,,,,
35,Cardamom Mountains Moist Forests,,,,
36,Western Java Montane Forests,,,,
37,Greater Antillean Moist Forests,,,,
38,Talamancan-Isthmian Pacific Forests,,,,
39,Chocó-Darién Moist Forests,,,,
40,Northern Andean Montane Forests,,,,
41,Coastal Venezuela Montane Forests,,,,
42,Guianan Moist Forests,,,,
43,Napo Moist Forests,,,,
44,Rio Negro-Juruá Moist Forests,,,,
45,Guayanan Highlands Moist Forests,,,,
46,Central Andean Yungas,,,,
47,Southwestern Amazonian Moist Forests,,,,
48,Atlantic Forests,,,,
49,South Pacific Islands Forests,,,,
50,Hawaii Moist Forests,,,,
51,Madagascar Dry Forests,,,,
52,Nusa Tenggara Dry Forests,,,,
