"REDLIST_ID","GENUS","SPECIES","RED_LIST_CATEGORY","RLSCRIT","WWF_SPECIES_ID"
"59659","Allophryne","ruthveni",,"LC","4713"
"59660","Arthroleptis","adelphus",,"LC","4714"
"54364","Arthroleptis","adolfifriederici",,"LC",
"54365","Arthroleptis","affinis",,"LC","4715"
"54366","Arthroleptis","bivittatus",,"DD","4717"
"54367","Arthroleptis","brevipes",,"DD","4718"
"54368","Arthroleptis","carquejai",,"DD","4719"
"54369","Arthroleptis","crusculum","Endangered","EN",
"54370","Arthroleptis","discodactyla",,"DD",
"54371","Arthroleptis","francei","Endangered","EN","4721"
"54372","Arthroleptis","hematogaster",,"DD","4722"
"54373","Arthroleptis","lameerei",,"LC","4723"
"54374","Arthroleptis","loveridgei",,"DD","4724"
"54375","Arthroleptis","milletihorsini",,"DD","4725"
"54376","Arthroleptis","mossoensis",,"DD","4726"
"54377","Arthroleptis","nikeae","Endangered","EN",
"54378","Arthroleptis","nimbaensis",,"DD","4727"
"54379","Arthroleptis","phrynoides",,"DD","4728"
"54380","Arthroleptis","poecilonotus",,"LC","4730"
"54381","Arthroleptis","pyrrhoscelis","Near Threatened","NT",
"54382","Arthroleptis","reichei","Near Threatened","NT","4731"
"54383","Arthroleptis","schubotzi",,"LC",
"54384","Arthroleptis","spinalis",,"DD","4734"
"54385","Arthroleptis","stenodactylus",,"LC","4735"
"54386","Arthroleptis","sylvatica",,"LC",
"54387","Arthroleptis","taeniatus",,"LC","4736"
"54388","Arthroleptis","tanneri","Vulnerable","VU","4737"
"54389","Arthroleptis","troglodytes","Critical","CR","4738"
"54390","Arthroleptis","tuberosus",,"DD","4739"
"54391","Arthroleptis","variabilis",,"LC","4740"
"54392","Arthroleptis","vercammeni",,"DD","4741"
"54393","Arthroleptis","wahlbergii",,"LC","4742"
"54394","Arthroleptis","xenodactyloides",,"LC","4744"
"54395","Arthroleptis","xenodactylus","Vulnerable","VU","4745"
"54396","Arthroleptis","zimmeri",,"DD","4746"
"54397","Cardioglossa","aureoli","Endangered","EN","4758"
"54398","Cardioglossa","cyaneospila",,"DD","4759"
"54399","Cardioglossa","dorsalis",,"DD","4760"
"54400","Cardioglossa","elegans",,"LC","4761"
"54401","Cardioglossa","escalerae",,"LC","4762"
"54402","Cardioglossa","gracilis",,"LC","4763"
"54403","Cardioglossa","gratiosa",,"LC","4764"
"54404","Cardioglossa","leucomystax",,"LC","4765"
"54405","Cardioglossa","melanogaster","Endangered","EN","4767"
"54406","Cardioglossa","nigromaculata","Near Threatened","NT","4768"
"54407","Cardioglossa","oreas","Endangered","EN","4769"
"54408","Cardioglossa","pulchra","Endangered","EN","4770"
"54409","Cardioglossa","schioetzi","Endangered","EN","4771"
"54410","Cardioglossa","trifasciata","Critical","CR","4772"
"54411","Cardioglossa","venusta","Endangered","EN","4773"
"54412","Schoutedenella","xenochirus",,"LC",
"54413","Ascaphus","montanus",,"LC",
"54414","Ascaphus","truei",,"LC","1919"
"54415","Astylosternus","batesi",,"LC","4747"
"54416","Astylosternus","diadematus","Vulnerable","VU","4748"
"54417","Astylosternus","fallax","Endangered","EN","4749"
"54418","Astylosternus","laurenti","Endangered","EN","4750"
"54419","Astylosternus","montanus","Near Threatened","NT","4751"
"54420","Astylosternus","nganhanus","Critical","CR","4752"
"54421","Astylosternus","occidentalis",,"LC","4753"
"54422","Astylosternus","perreti","Endangered","EN","4754"
"54423","Astylosternus","ranoides","Endangered","EN","4755"
"54424","Astylosternus","rheophilus","Vulnerable","VU","4756"
"54425","Astylosternus","schioetzi","Endangered","EN","4757"
"54426","Leptodactylodon","albiventris","Vulnerable","VU","4774"
"54427","Leptodactylodon","axillaris","Endangered","EN","4775"
"54428","Leptodactylodon","bicolor","Vulnerable","VU","4776"
"54429","Leptodactylodon","blanci",,"DD",
"54430","Leptodactylodon","boulengeri","Vulnerable","VU","4777"
"54431","Leptodactylodon","bueanus","Vulnerable","VU",
"54432","Leptodactylodon","erythrogaster","Critical","CR","4778"
"54433","Leptodactylodon","mertensi","Endangered","EN","4779"
"54434","Leptodactylodon","ornatus","Endangered","EN","4780"
"54435","Leptodactylodon","ovatus","Near Threatened","NT","4781"
"54436","Leptodactylodon","perreti","Endangered","EN","4782"
"54437","Leptodactylodon","polyacanthus","Vulnerable","VU","4783"
"54438","Leptodactylodon","stevarti","Endangered","EN",
"54439","Leptodactylodon","ventrimarmoratus","Vulnerable","VU","4784"
"54440","Leptodactylodon","wildi","Endangered","EN",
"54441","Nyctibates","corrugatus",,"LC","4785"
"54442","Scotobleps","gabonicus",,"LC","4786"
"54443","Trichobatrachus","robustus",,"LC","4787"
"23900","Barbourula","busuangensis","Vulnerable","VU","837"
"54444","Barbourula","kalimantanensis","Endangered","EN","838"
"2865","Bombina","bombina",,"LC","839"
"54445","Bombina","fortinuptialis","Vulnerable","VU","840"
"54446","Bombina","lichuanensis","Vulnerable","VU","95143"
"54447","Bombina","maxima",,"LC","841"
"54448","Bombina","microdeladigitora","Vulnerable","VU","842"
"54449","Bombina","orientalis",,"LC","843"
"54450","Bombina","pachypus",,"LC",
"54451","Bombina","variegata",,"LC","844"
"54452","Brachycephalus","didactylus",,"LC",
"54453","Brachycephalus","ephippium",,"LC","36"
"29487","Brachycephalus","hermogenesi",,"LC",
"54454","Brachycephalus","nodoterga",,"DD","37"
"54455","Brachycephalus","pernix",,"DD","95090"
"54456","Brachycephalus","vertebralis",,"DD",
"54457","Adenomus","dasi","Critical","CR","50005"
"54458","Adenomus","kandianus","Extinct","EX","50006"
"54459","Adenomus","kelaartii","Endangered","EN","240"
"54460","Altiphrynoides","malcolmi","Endangered","EN","39"
"54461","Andinophryne","atelopoides",,"DD","40"
"54462","Andinophryne","colomai","Critical","CR","41"
"54463","Andinophryne","olallai",,"DD","42"
"54464","Ansonia","albomaculata","Near Threatened","NT","43"
"54465","Ansonia","anotis","Endangered","EN",
"54466","Ansonia","fuliginea","Vulnerable","VU","44"
"54467","Ansonia","glandulosa",,"DD",
"54468","Ansonia","guibei","Endangered","EN","45"
"54469","Ansonia","hanitschi","Near Threatened","NT","46"
"54470","Ansonia","inthanon",,"DD","50053"
"54471","Ansonia","latidisca","Endangered","EN","47"
"54472","Ansonia","leptopus","Near Threatened","NT","48"
