SPECIES_ID,SPECIES,GENUS_ID,MAPPED,DELETED,STRICT_ENDEMISM,MODIFIED_BY,DATE_MODIFIED,CREATED_BY,DATE_CREATED,INFO_LOCATION
1,amblycephalum,171,Y,N,N,,,,,
2,andersoni,171,Y,N,Y,,,,,
3,annulatum,171,Y,N,N,,,,,
4,barbouri,171,Y,N,N,,,,,
5,bombypellum,171,Y,N,N,,,,,
6,cingulatum,171,Y,N,N,,,,,
7,dumerilii,171,Y,N,Y,,,,,
8,flavipiperatum,171,Y,N,N,,,,,
9,gracile,171,Y,N,N,,,,,
10,granulosum,171,Y,N,Y,,,,,
11,jeffersonianum,171,Y,N,N,,,,,
12,lacustris,171,Y,N,N,,,,,
13,laterale,171,Y,N,N,,,,,
14,lermaense,171,Y,N,N,,,,,
15,mabeei,171,Y,N,Y,,,,,
16,macrodactylum,171,Y,N,N,,,,,
17,maculatum,171,Y,N,N,,,,,
18,mexicanum,171,Y,N,N,,,,,
19,nothagenes,171,Y,N,N,,,,,
20,opacum,171,Y,N,N,,,,,
21,ordinarium,171,Y,N,N,,,,,
22,platineum,171,Y,N,N,,,,,
23,rosaceum,171,Y,N,N,,,,,
24,talpoideum,171,Y,N,N,,,,,
25,taylori,171,Y,N,Y,,,,,
26,texanum,171,Y,N,N,,,,,
27,tigrinum,171,Y,N,N,,,,,
28,tremblayi,171,Y,N,N,,,,,
29,altamirani,3943,Y,N,N,,,,,
30,leorae,3943,Y,N,Y,,,,,
31,rivularis,3943,Y,N,N,,,,,
32,zempoalaensis,3943,Y,N,Y,,,,,
33,means,192,Y,N,N,,,,,
34,pholeter,192,Y,N,Y,,,,,
35,tridactylum,192,Y,N,N,,,,,
36,ephippium,518,Y,N,N,,,,,
37,nodoterga,518,Y,N,N,,,,,
38,didactyla,3759,Y,N,Y,,,,,
39,malcolmi,148,Y,N,N,,,,,
40,atelopoides,210,Y,N,Y,,,,,
41,colomai,210,Y,N,Y,,,,,
42,olallai,210,Y,N,Y,,,,,
43,albomaculata,250,Y,N,N,,,,,
44,fuliginea,250,Y,N,N,,,,,
45,guibei,250,Y,N,Y,,,,,
46,hanitschi,250,Y,N,Y,,,,,
47,latidisca,250,Y,N,Y,,,,,
48,leptopus,250,Y,N,N,,,,,
49,longidigita,250,Y,N,N,,,,,
50,malayana,250,Y,N,N,,,,,
51,mcgregori,250,Y,N,N,,,,,
52,minuta,250,Y,N,Y,,,,,
53,muelleri,250,Y,N,N,,,,,
54,ornata,250,Y,N,Y,,,,,
55,penangensis,250,Y,N,N,,,,,
56,platysoma,250,Y,N,Y,,,,,
57,rubigina,250,Y,N,Y,,,,,
58,siamensis,250,Y,N,Y,,,,,
59,spinulifer,250,Y,N,N,,,,,
60,tiomanica,250,Y,N,Y,,,,,
61,torrentis,250,Y,N,Y,,,,,
62,chrysophorus,378,Y,N,N,,,,,
63,arsyecue,379,Y,N,N,,,,,
64,arthuri,379,Y,N,Y,,,,,
65,balios,379,Y,N,Y,,,,,
66,bomolochos,379,Y,N,N,,,,,
67,boulengeri,379,Y,N,Y,,,,,
68,carauta,379,Y,N,Y,,,,,
69,carbonerensis,379,Y,N,Y,,,,,
70,carrikeri,379,Y,N,N,,,,,
71,certus,379,Y,N,N,,,,,
72,chiriquiensis,379,Y,N,Y,,,,,
73,chocoensis,379,Y,N,Y,,,,,
74,coynei,379,Y,N,Y,,,,,
75,cruciger,379,Y,N,Y,,,,,
76,crysocorallus,379,Y,N,N,,,,,
77,ebenoides,379,Y,N,N,,,,,
